location,price_per_month,bed num,bath num,sqft,url of rental info,latitude,longitude
"Depew Pl,Staten Island,NY,10309",1300.0,1,1.0,880.0,https://www.zillow.com/homedetails/Depew-Pl-Staten-Island-NY-10309/2095494912_zpid/,40.5286852,-74.2100688
"Sinclair Ave,STATEN ISLAND,NY,10309",1300.0,1,1.0,750.0,https://www.zillow.com/homedetails/Sinclair-Ave-Staten-Island-NY-10309/2087707526_zpid/,40.53996739999999,-74.20355479999999
"82nd St,Brooklyn,NY,11228",1300.0,1,1.0,750.0,https://www.zillow.com/homedetails/82nd-St-Brooklyn-NY-11228/2086165742_zpid/,40.6195517,-74.0168544
"77th St,Brooklyn,NY,11214",1300.0,1,1.0,750.0,https://www.zillow.com/homedetails/77th-St-Brooklyn-NY-11214/2085486132_zpid/,40.6122186,-73.9971686
"Sinclair Ave,Staten Island,NY,10309",1300.0,1,1.0,750.0,https://www.zillow.com/homedetails/Sinclair-Ave-Staten-Island-NY-10309/2085039749_zpid/,40.53996739999999,-74.20355479999999
"Klondike Ave,Staten Island,NY,10314",1300.0,1,1.0,600.0,https://www.zillow.com/homedetails/Klondike-Ave-Staten-Island-NY-10314/2091681808_zpid/,40.5885098,-74.15628
"Pompey Ave,Staten Island,NY,10312",1300.0,1,1.0,1930.0,https://www.zillow.com/homedetails/Pompey-Ave-Staten-Island-NY-10312/2086709807_zpid/,40.5499932,-74.17209009999999
"Roman Ave,Staten Island,NY,10314",1300.0,1,1.0,1930.0,https://www.zillow.com/homedetails/Roman-Ave-Staten-Island-NY-10314/2094335933_zpid/,40.6153513,-74.1639734
"85th St,Woodhaven,NY,11421",1300.0,1,1.0,650.0,https://www.zillow.com/homedetails/85th-St-Woodhaven-NY-11421/2085202957_zpid/,40.689215,-73.857861
"80th St,Brooklyn,NY,11228",1300.0,1,1.0,650.0,https://www.zillow.com/homedetails/80th-St-Brooklyn-NY-11228/2085400711_zpid/,40.62145400000001,-74.016987
"Rensselaer Ave,Staten Island,NY,10309",1300.0,1,1.0,650.0,https://www.zillow.com/homedetails/Rensselaer-Ave-Staten-Island-NY-10309/2085133067_zpid/,40.538683,-74.20263640000002
"Essex Dr,Staten Island,NY,10314",1300.0,1,1.0,650.0,https://www.zillow.com/homedetails/Essex-Dr-Staten-Island-NY-10314/2085164329_zpid/,40.581406,-74.1584549
"62nd St,Brooklyn,NY,11204",1300.0,1,1.0,900.0,https://www.zillow.com/homedetails/62nd-St-Brooklyn-NY-11204/2093468234_zpid/,40.619567,-73.98627499999999
"2155 82nd Street # C FL 3,Brooklyn,NY,11214",1300.0,1,1.0,525.0,https://www.zillow.com/homedetails/2155-82nd-Street-C-FL-3-Brooklyn-NY-11214/2085145128_zpid/,40.6049334,-73.99235759999999
"Coney Island Ave,Brooklyn,NY,11223",1300.0,1,1.0,900.0,https://www.zillow.com/homedetails/Coney-Island-Ave-Brooklyn-NY-11223/2085442555_zpid/,40.5961556,-73.9610277
"21st Ave,Brooklyn,NY,11214",1300.0,1,1.0,900.0,https://www.zillow.com/homedetails/21st-Ave-Brooklyn-NY-11214/2105825954_zpid/,40.606116,-73.993104
"204 Greenleaf Ave APT 4B,Staten Island,NY,10310",1300.0,1,1.0,2248.0,https://www.zillow.com/homedetails/204-Greenleaf-Ave-APT-4B-Staten-Island-NY-10310/2085137270_zpid/,40.6252853,-74.12651300000002
"Cropsey Ave,Brooklyn,NY,11214",1300.0,1,1.0,2240.0,https://www.zillow.com/homedetails/Cropsey-Ave-Brooklyn-NY-11214/2086206519_zpid/,40.595627,-73.9968531
"Bay 40th St,BROOKLYN,NY,11214",1300.0,1,1.0,2240.0,https://www.zillow.com/homedetails/Bay-40th-St-Brooklyn-NY-11214/2085568645_zpid/,40.5944587,-73.9895863
